scid,context,doc_name,doc_context,rcid
224,"使用pl用户登录应用主备机，执行",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""标准变更实行准入准出机制。针对日常操作中经常出现，变更方案成熟，技术风险和业务风险均可控的常规变更（如网络端口配置、增加操作系统级用户等，但应用系统版本变更除外），可纳入标准变更管理。受理此类变更的室可向生产调度会提交经室负责人审核的《华夏银行信息系统标准变更申请表》（模板参见附件1），对标准变更申请进行评估，评估通过的申请列入标准变更列表，后续同类变更可按照标准变更流程执行。",2823
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""5.3若在变更实施过程中遇到执行结果与预期结果不一致、执行时间滞后于预估时间、变更实施引发非预期的生产事件、执行过程中断、变更操作与变更方案不一致等情况时，变更实施人应立即向值班人员、变更经理和信息技术部门负责人报告，分行信息技术部门负责人组织采取应急措施。",2908
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""因特殊情况（如生产系统故障、告警等）确需进行紧急变更的，可采用电话授权或临时召开评审会的方式进行紧急审批；如紧急变更涉及应用程序补丁发布，在紧急上版前必须依据我行应用系统版本发布的有关要求完成审批；其他紧急变更必须在紧急变更实施后一个工作日内补办审批手续。紧急变更需由分行信息技术部门负责人审批同意后方可实施。",2907
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（1）本细则所称应用系统版本变更是指生产环境、灾备环境应用系统（包括程序代码、数据库存储过程脚本等）的升级、改造或功能变更等。",2739
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""按照变更内容，变更分为应用系统版本变更、系统配置变更、系统环境和硬件变更、网络变更、生产数据非计划性修改、系统重启、数据清理及系统用户变更等。",2738
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（5）本细则所称生产数据非计划性修改是指由于系统缺陷、操作错误、数据移植错误等原因造成的生产数据错误，但应用系统未提供相应修复功能且需要通过操作系统命令或数据库命令等特殊手段对生产数据直接进行后台修改的操作。",2743
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（2）本细则所称系统配置变更是指与生产环境、灾备环境相关的系统容量变更和系统配置参数变更，包括但不限于数据库空间变更、存储空间变更；非业务前台界面维护的应用系统参数变更；操作系统、中间件、数据库等参数变更、漏洞和补丁修补以及版本变更；信息科技部门通过参数设置界面实现的参数变更等。",2740
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（1）重大变更是指影响全辖或一家（含）以上分行系统服务、业务中断时间3小时（含）以上的重要信息系统以及支持其运行的基础设施变更，包括应用系统阶段版本变更、重大生产环境和硬件变更、网络及核心系统应用架构变更等；其他对我行重要业务运营及重要信息系统的可用性、完整性、安全性具有较大潜在影响的变更等。重大变更计划需经分管信息科技的行领导审批同意，并正式发布。",2747
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（6）本细则所称系统重启、数据清理及系统用户变更主要是指操作系统、数据库、中间件、应用系统的重启，数据清理等对生产系统运行状态产生影响的操作，以及操作系统用户的建立、删除、用户权限及口令修改等操作。",2744
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""    重大变更实施前30个工作日，应用系统阶段版本等变更由信息科技部门负责项目管理的室根据需求计划确定变更范围，系统软硬件、网络和生产环境等变更由信息科技部门归口管理室组织确定变更范围，并将确定的变更范围进行发布。",2758
70,"操作手册必须包含系统升级实际操作中的每一项操作步骤。",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""第二十四条 设备的安装应按照生产系统硬件设备安装、升级及备件更换操作流程执行。",90
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（2）重要信息系统基本信息：包括系统名称、业务功能，操作系统、数据库、中间件情况，应用架构、技术架构、数据架构，生产主机备份方案、数据备份方案，运行管理部门和维护支持人员及联系方式，是否已具备灾备环境等。",2762
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""7.2审计部门应对重要信息系统变更管理和操作等定期开展审计工作，针对发现的问题提出整改意见。",2915
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（1）应用系统版本发布应按照我行信息科技应用系统生产版本发布的有关规定执行。提交版本发布的变更方案应包括但不限于以下内容：变更计划开始时间和结束时间，实施步骤、操作分时计划（含变更中各单位需要配合和确认的工作）、变更回退方案（含回退时间点和完成回退的时间）、变更风险评估、变更影响范围、是否会引起服务中断及服务中断时间、工作量估算、变更应急预案、变更前的备份、测试报告、验证方案等。如变更系统包含多个节点，变更方案要包括每个节点的操作。对于有同城、异地灾备部署的系统，变更方案要包括同城、异地灾备环境的变更操作。方案制定人对变更方案的正确性和完整性负责。",2808
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""7.3.1数据下载方案和脱敏方案由科技开发部门负责系统应用维护的室指定专人制定，方案制定人根据申请单编写数据下载和脱敏的具体操作脚本、详细处理方法（具体要求见《华夏银行生产数据敏感信息脱敏处理方法》（附件7）），下载生产数据如涉及敏感数据，应由数据使用部门和系统应用维护部门共同提出敏感数据脱敏方法。",1563
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（9）信息技术部门负责生产运行的室负责人评估数据下载操作对生产运行的影响，并提交信息技术部门分管生产运行的负责人审批。",1561
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（3）方案制定人负责组织制定变更方案，变更方案应包括变更计划开始时间和结束时间，实施步骤、操作分时计划（含变更中相关单位需要配合和确认的工作）、变更回退方案（含回退时间点和完成回退的时间）、变更风险评估、变更影响范围、是否会引起服务中断及服务中断时间、工作量估算、变更应急预案、变更前备份、验证方案等，与业务相关的变更还需提交测试报告。如变更系统包含多个节点，变更方案要包括每个节点的操作。对于有同城、异地灾备部署的系统，变更方案要包括同城、异地灾备环境的变更操作。方案制定人对变更方案的正确性和完整性负责。",2814
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""7.4.1信息技术部门负责生产运行的室应建立生产数据下载台账，科技开发部门负责系统应用维护的室要严格按照技术方案实施生产数据下载，下载方案实施人员、复核人员和生产数据使用人员应对已下载生产数据与申请数据的一致性负责，已下载生产数据进行压缩加密，加密规则要求最低不少于6位的数字、字母和特殊字符组成，并将已压缩的数据放置在移交专用机器上，删除操作机器上的临时数据。分行申请下载的数据，由科技开发部门负责系统应用维护的室实施下载，信息技术部门负责生产运行的室通过指定的移交专用机器发送给分行信息技术部门，由分行信息技术部门负责后续移交。",1566
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""应用系统版本变更方案须经分行信息技术部门负责人审批通过后，变更实施人方可按照变更方案进行实施。",2897
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""非应用系统版本变更分为分行业务部门提出的变更和分行信息技术部门提出的变更。",2899
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""标准变更实行准入准出机制。针对日常操作中经常出现，变更方案成熟，技术风险和业务风险均可控的常规变更（如网络端口配置、增加操作系统级用户等，但应用系统版本变更除外），可纳入标准变更管理。受理此类变更的室可向生产调度会提交经室负责人审核的《华夏银行信息系统标准变更申请表》（模板参见附件1），对标准变更申请进行评估，评估通过的申请列入标准变更列表，后续同类变更可按照标准变更流程执行。",2823
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（1）信息技术部门负责生产运行的室负责下载生产数据的移交工作，并指定专人操作、监督移交，数据接收人原则上为数据下载申请人。",1580
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（1）生产数据下载在总行实施的，由总行信息技术部门负责生产运行的室指定专人通过受控网络（不得在生产高峰期进行）将已下载的生产数据传输给分行信息技术部门，分行信息技术部门通过生产数据移交专用机，并指定专人操作、监督移交工作，数据接收人原则上为数据下载申请人。",1587
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""4.7由科技开发部门负责系统应用维护的室牵头，信息技术部负责系统管理的室配合，按照信息系统的分类，依据本细则在各系统运维手册中制定相应的备份与恢复验证测试详细方案及操作步骤，包括日常备份、特殊日期备份以及备份的具体日期、时间、备份方式、备份介质、保存期限、数据恢复验证测试频率等。",1514
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""常规变更和标准变更的变更日期要依据年度生产调度表执行，年度生产调度表由信息科技部门负责生产运行的室编制。原则上每周四、周六作为常规变更日，周四或周六如为特殊日期（如结息日、年终决算前二周，国家重大活动开幕、闭幕期间等），由生产调度会确定其他日期作为变更日，每月最后两个工作日原则上不作为变更日。周四变更日原则上不进行与客户相关系统的变更，周六变更日主要实施与客户相关系统的变更、当日不对外服务系统的变更以及超过周四变更日变更总量的变更。",2865
112," HYPERLINK \l "_Toc411840819" 7.1	公积金系统升级操作执行表	 PAGEREF _Toc411840819 \h 9",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""第二十四条 设备的安装应按照生产系统硬件设备安装、升级及备件更换操作流程执行。",90
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""（2）灾备环境硬件、系统软件及基础设施等变更不需再进行单独审批，在确认对生产环境无影响的前提下，可根据实际需求实施；同城灾备环境实施由负责生产环境变更实施的室负责；异地灾备环境实施由负责应急与灾备管理的室负责，负责生产环境变更实施的室提供技术支持。灾备环境变更实施前，如生产环境需向灾备环境切换，切换前需对灾备环境进行追加变更。",2854
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""5.1.4生产数据管理部门应妥善保管载有在本地前后台计算机系统内安装的全部操作系统软件（含操作系统补丁程序）、数据库、通讯软件、开发工具软件、应用软件及应用软件和数据库的环境参数（库表）等软件和数据的光盘、磁带、软盘等介质。应用软件和银行业务信息属机密档案，应严格采取保密措施存放，并建立登记簿详细记录各介质出入库情况。",1520
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（7）科技开发部门负责系统应用维护的室负责人审核数据下载申请的可行性，指定下载方案和脱敏方案制定人，同时负责审核下载方案和脱敏方案的正确性，指定实施和监督人员。审核通过后，提交信息技术部门负责科技安全的室。",1559
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""4.7.2.1变更申请和受理室应充分识别、分析、评估重要信息系统变更风险，包括系统功能缺陷、客户信息泄露、业务中断、交易缓慢或其他因素可能造成的操作风险、法律风险和声誉风险，并牵头形成风险评估报告。",2889
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（6）信息技术部门负责生产运行的室负责审核数据下载申请资料的完整性，如通过报表或报表项组合可获取申请下载的数据，则无需进行生产数据下载，退回申请表；通过报表或报表项组合不能获取申请下载的数据，则需进行生产数据下载。审核通过后，提交科技开发部门负责系统应用维护的室。",1558
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（5）信息技术部门负责生产运行的室负责人评估数据下载操作对生产运行的影响，并提交信息技术部门分管生产运行的负责人审批。",1549
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（3）科技开发部门负责系统应用维护的室负责人审核数据下载申请的可行性，指定下载方案和脱敏方案制定人，同时负责审核下载方案和脱敏方案的正确性，指定实施和监督人员。审核通过后，提交信息技术部门负责科技安全的室。",1547
68,"此模版适用于信息系统升级（含切换或上线）期间的技术操作（软件系统）。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""（2）信息技术部门负责生产运行的室负责审核数据下载申请资料的完整性，如通过报表或报表项组合可获取申请下载的数据，则无需进行生产数据下载，退回申请表；通过报表或报表项组合不能获取申请下载的数据，则需进行生产数据下载。审核通过后，提交科技开发部门负责系统应用维护的室。",1546
216,"回退需根据上线指挥指令进行，回退时点遵照上线指挥的指令，应避免在业务时间回退。只回退应用参数配置，不回退业务数据。本次升级未对系统现存表的结构、现存系统参数配置做变更，数据库方面无需回退。新增GTP配置对原有业务无影响，也无需回退。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""5.2 技术和业务人员在系统使用、配置、维护及监控过程中发现的，如不解决可能会影响系统正常运行的情况应提出问题。",3119
216,"回退需根据上线指挥指令进行，回退时点遵照上线指挥的指令，应避免在业务时间回退。只回退应用参数配置，不回退业务数据。本次升级未对系统现存表的结构、现存系统参数配置做变更，数据库方面无需回退。新增GTP配置对原有业务无影响，也无需回退。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""（1）运行环境问题，主要包括机房水电、空调、综合布线等基础设施方面的问题；交换机、路由器、防火墙、通讯线路等网络方面的问题；主机、存储、虚拟化平台等系统硬件方面的问题；操作系统、中间件、数据库等系统软件方面的问题；与系统运行相关的参数配置等方面的问题。",3103
161,"检查公积金系统网络环境，使用pl用户登录应用主机，执行tlmenu命令，查看系统上下级节点是否全部保持联通状态，保证外连TONG节点连接状态正常。",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""第八条 总行信息技术部门负责设备管理的室负责设备固定资产管理，组织验收、盘点、报废技术鉴定等；负责系统管理、机房基础设施管理、网络管理、科技安全管理的室分别是计算机主机和外围设备、机房基础设施设备、网络设备和安全设备的归口管理室，负责设备的日常管理和维护，并参与设备的验收；负责商务管理的室负责设备商务合同管理。",54
216,"回退需根据上线指挥指令进行，回退时点遵照上线指挥的指令，应避免在业务时间回退。只回退应用参数配置，不回退业务数据。本次升级未对系统现存表的结构、现存系统参数配置做变更，数据库方面无需回退。新增GTP配置对原有业务无影响，也无需回退。",华银制〔2014〕309号__华夏银行信息系统问题管理实施细则.doc,""（4）涉及系统平台（含操作系统、数据库、中间件等）相关参数配置等方面的问题，由信息科技部门负责系统管理的室作为问题主责室牵头解决；涉及应用系统参数（含操作系统、数据库、中间件等与应用系统相关的参数）等方面的问题，由信息科技部门负责应用系统维护的室作为问题主责室牵头解决。",3135
161,"检查公积金系统网络环境，使用pl用户登录应用主机，执行tlmenu命令，查看系统上下级节点是否全部保持联通状态，保证外连TONG节点连接状态正常。",华银制〔2014〕197号__华夏银行信息系统设备管理办法.doc,""第二十二条 设备领用时，固定资产实物管理部门对设备进行出库管理，在资源管理信息系统中录入使用机构、领用部门、放置地点、领用人、设备状态、设备用途、所属项目或应用系统等信息，打印固定资产标签并统一粘贴到设备明显位置，并与设备领用部门办理交接手续。",85
166,"升级实施人员安排",华银制〔2014〕300号__华夏银行信息系统变更管理实施细则.doc,""生产调度会原则上每周召开一次，讨论本周变更安排。评估范围原则上包括标准变更和解决P3级（含）以上生产问题或由网络、系统、安全等运维人员主动发起，为解决系统潜在风险进行的常规变更。如果变更不属于标准变更，且不属于解决P3级及以上生产问题的常规变更，变更方案制订人，分管变更方案制定、变更实施的部门负责人及该系统风险总包负责人应参加生产调度会。如参会人员缺席，则与该缺席人员相关的变更不在当周的调度会上讨论，不安排当周实施变更。",2846
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""7.4.1信息技术部门负责生产运行的室应建立生产数据下载台账，科技开发部门负责系统应用维护的室要严格按照技术方案实施生产数据下载，下载方案实施人员、复核人员和生产数据使用人员应对已下载生产数据与申请数据的一致性负责，已下载生产数据进行压缩加密，加密规则要求最低不少于6位的数字、字母和特殊字符组成，并将已压缩的数据放置在移交专用机器上，删除操作机器上的临时数据。分行申请下载的数据，由科技开发部门负责系统应用维护的室实施下载，信息技术部门负责生产运行的室通过指定的移交专用机器发送给分行信息技术部门，由分行信息技术部门负责后续移交。",1566
159,"检查公积金系统网络环境，保证操作终端登录公积金系统应用主备机后台正常。",华银制〔2014〕245号__华夏银行信息系统生产数据管理实施细则.doc,""7.3.1数据下载方案和脱敏方案由科技开发部门负责系统应用维护的室指定专人制定，方案制定人根据申请单编写数据下载和脱敏的具体操作脚本、详细处理方法（具体要求见《华夏银行生产数据敏感信息脱敏处理方法》（附件7）），下载生产数据如涉及敏感数据，应由数据使用部门和系统应用维护部门共同提出敏感数据脱敏方法。",1563
